,x_start,y_start,x_end,y_end
2,7.266663403068275,181.3622487121614,7.265839627436923,181.36220152386755
3,-110.97088526556368,-139.44422828142442,-110.9686017610134,-139.44287128627687
4,-219.53853972064826,-304.93167920557283,-219.53248804763177,-304.92611996056405
5,-256.0316940395203,-528.9837909723442,-256.018746856114,-528.9627904265225
6,-553.2558267462068,-346.78342309526744,-553.2525190049805,-346.78461440373565
7,-559.5918398477481,-130.01629131016963,-559.5908842820866,-130.01915381433164
8,-510.7434383491742,258.02467738293467,-510.7447174501885,258.0235261464776
9,-186.72866701151383,257.5295717490366,-186.72925473184148,257.5287518475982
10,154.5054875622372,399.0193896009286,154.50253413061432,399.0162219262922
11,218.56676144146533,-257.24283588984326,218.56659811974728,-257.2371829344375
12,386.99632428500155,-345.18602244941945,386.9952611677921,-345.1771719939994
13,327.84059755535367,-566.7093896024398,327.83397910037377,-566.6845586423873
14,234.1153075553681,-675.8308176501508,234.10911682614082,-675.7932090985835
15,81.68843287213149,-544.4373030159587,81.68927594421736,-544.4072351728969
16,-79.90576086895257,-460.39418173077814,-79.89908141103977,-460.3712540885262
17,61.5702091249038,-694.0379180643254,61.57348610232218,-694.0000352265204
18,-107.07776706609252,-677.5758958373334,-107.06700414736092,-677.5367615607646
20,232.2832142072738,-860.6188497002272,232.27793237739013,-860.569184245365
21,492.5154172531379,-710.8240794237103,492.502832304725,-710.7874170850525
22,576.1674887512874,-307.22391940759127,576.1669405236701,-307.215141258578
23,683.2697643771733,-23.591125493086075,683.266880697211,-23.583457126374828
24,234.27905969893743,59.99205240353531,234.27692947109009,59.99299422047791
